SSC_NAME16	LabourForceStatus	persons
Camerons Creek	Employed (part-time)	5
Camerons Creek	Not in the labour force	16
Camira (NSW)	Employed (full-time)	3
Camira (NSW)	Employed (part-time)	4
Camira (NSW)	Not in the labour force	15
Cammeray	Employed (away from work)	165
Cammeray	Employed (full-time)	2902
Cammeray	Employed (part-time)	947
Cammeray	Not in the labour force	1238
Cammeray	Unemployed (looking for work)	146
Camp Creek (NSW)	Employed (full-time)	9
Camp Creek (NSW)	Employed (part-time)	3
Camp Creek (NSW)	Not in the labour force	7
Campbelltown (NSW)	Employed (away from work)	275
Campbelltown (NSW)	Employed (full-time)	3433
Campbelltown (NSW)	Employed (part-time)	1483
Campbelltown (NSW)	Not in the labour force	3891
Campbelltown (NSW)	Unemployed (looking for work)	474
Camperdown (NSW)	Employed (away from work)	349
Camperdown (NSW)	Employed (full-time)	3977
Camperdown (NSW)	Employed (part-time)	1641
Camperdown (NSW)	Not in the labour force	2316
Camperdown (NSW)	Unemployed (looking for work)	467
Campsie	Employed (away from work)	562
Campsie	Employed (full-time)	6451
Campsie	Employed (part-time)	3967
Campsie	Not in the labour force	7435
Campsie	Unemployed (looking for work)	1128
Campvale	Employed (full-time)	11
Campvale	Employed (part-time)	15
Campvale	Not in the labour force	11
Cams Wharf	Employed (full-time)	31
Cams Wharf	Employed (part-time)	28
Cams Wharf	Not in the labour force	42
Cams Wharf	Unemployed (looking for work)	4
Canada Bay	Employed (away from work)	34
Canada Bay	Employed (full-time)	413
Canada Bay	Employed (part-time)	165
Canada Bay	Not in the labour force	314
Canada Bay	Unemployed (looking for work)	37
Canadian Lead	Not in the labour force	3
Canbelego	Employed (full-time)	14
Canbelego	Employed (part-time)	5
Canbelego	Not in the labour force	12
Canbelego	Unemployed (looking for work)	4
Candelo	Employed (away from work)	11
Candelo	Employed (full-time)	162
Candelo	Employed (part-time)	125
Candelo	Not in the labour force	189
Candelo	Unemployed (looking for work)	19
Cangai	Employed (full-time)	10
Cangai	Employed (part-time)	3
Cangai	Not in the labour force	13
Caniaba	Employed (away from work)	17
Caniaba	Employed (full-time)	208
Caniaba	Employed (part-time)	112
Caniaba	Not in the labour force	121
Caniaba	Unemployed (looking for work)	7
Canley Heights	Employed (away from work)	260
Canley Heights	Employed (full-time)	2515
Canley Heights	Employed (part-time)	1236
Canley Heights	Not in the labour force	3929
Canley Heights	Unemployed (looking for work)	534
Canley Vale	Employed (away from work)	160
Canley Vale	Employed (full-time)	2175
Canley Vale	Employed (part-time)	1184
Canley Vale	Not in the labour force	3760
Canley Vale	Unemployed (looking for work)	562
Canobolas	Employed (away from work)	15
Canobolas	Employed (full-time)	152
Canobolas	Employed (part-time)	102
Canobolas	Not in the labour force	101
Canobolas	Unemployed (looking for work)	8
Canoelands	Employed (away from work)	13
Canoelands	Employed (full-time)	51
Canoelands	Employed (part-time)	33
Canoelands	Not in the labour force	28
Canonba	Employed (full-time)	16
Canonba	Employed (part-time)	3
Canowindra	Employed (away from work)	53
Canowindra	Employed (full-time)	540
Canowindra	Employed (part-time)	340
Canowindra	Not in the labour force	722
Canowindra	Unemployed (looking for work)	52
Canterbury (NSW)	Employed (away from work)	187
Canterbury (NSW)	Employed (full-time)	2342
Canterbury (NSW)	Employed (part-time)	1112
Canterbury (NSW)	Not in the labour force	1872
Canterbury (NSW)	Unemployed (looking for work)	239
Canton Beach	Employed (away from work)	18
Canton Beach	Employed (full-time)	154
Canton Beach	Employed (part-time)	84
Canton Beach	Not in the labour force	630
Canton Beach	Unemployed (looking for work)	29
Canyonleigh	Employed (away from work)	15
Canyonleigh	Employed (full-time)	110
Canyonleigh	Employed (part-time)	86
Canyonleigh	Not in the labour force	104
Canyonleigh	Unemployed (looking for work)	8
Caparra	Employed (full-time)	11
Caparra	Employed (part-time)	14
Caparra	Not in the labour force	26
Capeen Creek	Employed (full-time)	3
Capertee	Employed (away from work)	8
Capertee	Employed (full-time)	28
Capertee	Employed (part-time)	23
Capertee	Not in the labour force	48
Capertee	Unemployed (looking for work)	3
Capoompeta	Employed (full-time)	3
Captains Flat	Employed (away from work)	21
Captains Flat	Employed (full-time)	211
Captains Flat	Employed (part-time)	55
Captains Flat	Not in the labour force	128
Captains Flat	Unemployed (looking for work)	20
Carabost	Employed (full-time)	16
Carabost	Employed (part-time)	7
Carabost	Not in the labour force	15
Caragabal	Employed (away from work)	6
Caragabal	Employed (full-time)	45
Caragabal	Employed (part-time)	36
Caragabal	Not in the labour force	41
Carcalgong	Employed (full-time)	5
Carcalgong	Employed (part-time)	7
Carcalgong	Not in the labour force	16
Carcalgong	Unemployed (looking for work)	4
Carcoar	Employed (away from work)	9
Carcoar	Employed (full-time)	69
Carcoar	Employed (part-time)	36
Carcoar	Not in the labour force	119
Carcoar	Unemployed (looking for work)	8
Cardiff (NSW)	Employed (away from work)	123
Cardiff (NSW)	Employed (full-time)	1616
Cardiff (NSW)	Employed (part-time)	899
Cardiff (NSW)	Not in the labour force	1654
Cardiff (NSW)	Unemployed (looking for work)	219
Cardiff Heights	Employed (away from work)	36
Cardiff Heights	Employed (full-time)	394
Cardiff Heights	Employed (part-time)	214
Cardiff Heights	Not in the labour force	438
Cardiff Heights	Unemployed (looking for work)	36
Cardiff South	Employed (away from work)	68
Cardiff South	Employed (full-time)	841
Cardiff South	Employed (part-time)	465
Cardiff South	Not in the labour force	731
Cardiff South	Unemployed (looking for work)	83
Carey Bay	Employed (away from work)	19
Carey Bay	Employed (full-time)	175
Carey Bay	Employed (part-time)	107
Carey Bay	Not in the labour force	402
Carey Bay	Unemployed (looking for work)	20
Cargo	Employed (away from work)	9
Cargo	Employed (full-time)	187
Cargo	Employed (part-time)	76
Cargo	Not in the labour force	143
Cargo	Unemployed (looking for work)	10
Carinda	Employed (away from work)	14
Carinda	Employed (full-time)	63
Carinda	Employed (part-time)	25
Carinda	Not in the labour force	26
Carinda	Unemployed (looking for work)	3
Caringbah	Employed (away from work)	364
Caringbah	Employed (full-time)	3934
Caringbah	Employed (part-time)	1693
Caringbah	Not in the labour force	2767
Caringbah	Unemployed (looking for work)	225
Caringbah South	Employed (away from work)	271
Caringbah South	Employed (full-time)	3599
Caringbah South	Employed (part-time)	2181
Caringbah South	Not in the labour force	3165
Caringbah South	Unemployed (looking for work)	193
Carlaminda	Employed (full-time)	10
Carlaminda	Employed (part-time)	9
Carlaminda	Not in the labour force	9
Carlingford	Employed (away from work)	474
Carlingford	Employed (full-time)	7127
Carlingford	Employed (part-time)	3452
Carlingford	Not in the labour force	7263
Carlingford	Unemployed (looking for work)	775
Carlton (NSW)	Employed (away from work)	279
Carlton (NSW)	Employed (full-time)	3262
Carlton (NSW)	Employed (part-time)	1681
Carlton (NSW)	Not in the labour force	2904
Carlton (NSW)	Unemployed (looking for work)	355
Carnes Hill	Employed (away from work)	49
Carnes Hill	Employed (full-time)	691
Carnes Hill	Employed (part-time)	254
Carnes Hill	Not in the labour force	369
Carnes Hill	Unemployed (looking for work)	46
Carnham	Employed (full-time)	8
Carool	Employed (away from work)	3
Carool	Employed (full-time)	49
Carool	Employed (part-time)	28
Carool	Not in the labour force	45
Carool	Unemployed (looking for work)	7
Caroona	Employed (away from work)	6
Caroona	Employed (full-time)	46
Caroona	Employed (part-time)	26
Caroona	Not in the labour force	60
Caroona	Unemployed (looking for work)	11
Carramar (NSW)	Employed (away from work)	70
Carramar (NSW)	Employed (full-time)	710
Carramar (NSW)	Employed (part-time)	407
Carramar (NSW)	Not in the labour force	1306
Carramar (NSW)	Unemployed (looking for work)	175
Carrathool	Employed (away from work)	16
Carrathool	Employed (full-time)	73
Carrathool	Employed (part-time)	31
Carrathool	Not in the labour force	42
Carrathool	Unemployed (looking for work)	6
Carrick (NSW)	Employed (away from work)	3
Carrick (NSW)	Employed (full-time)	32
Carrick (NSW)	Employed (part-time)	28
Carrick (NSW)	Not in the labour force	21
Carrick (NSW)	Unemployed (looking for work)	4
Carrington (Mid-Coast - NSW)	Employed (full-time)	3
Carrington (Mid-Coast - NSW)	Employed (part-time)	8
Carrington (Mid-Coast - NSW)	Not in the labour force	16
Carrington (Newcastle - NSW)	Employed (away from work)	47
Carrington (Newcastle - NSW)	Employed (full-time)	646
Carrington (Newcastle - NSW)	Employed (part-time)	319
Carrington (Newcastle - NSW)	Not in the labour force	456
Carrington (Newcastle - NSW)	Unemployed (looking for work)	81
Carrington Falls	Employed (away from work)	3
Carrington Falls	Employed (full-time)	3
Carrington Falls	Not in the labour force	10
Carroll	Employed (away from work)	8
Carroll	Employed (full-time)	86
Carroll	Employed (part-time)	38
Carroll	Not in the labour force	92
Carroll	Unemployed (looking for work)	10
Carrowbrook	Employed (full-time)	12
Carrowbrook	Employed (part-time)	3
Carrowbrook	Not in the labour force	10
Carrs Creek	Employed (away from work)	3
Carrs Creek	Employed (full-time)	27
Carrs Creek	Employed (part-time)	26
Carrs Creek	Not in the labour force	37
Carrs Creek	Unemployed (looking for work)	8
Carrs Island	Employed (full-time)	3
Carrs Island	Not in the labour force	4
Carrs Peninsula	Employed (full-time)	9
Carrs Peninsula	Employed (part-time)	5
Carrs Peninsula	Not in the labour force	8
Carss Park	Employed (away from work)	18
Carss Park	Employed (full-time)	342
Carss Park	Employed (part-time)	182
Carss Park	Not in the labour force	396
Carss Park	Unemployed (looking for work)	32
Cartwright	Employed (away from work)	58
Cartwright	Employed (full-time)	349
Cartwright	Employed (part-time)	206
Cartwright	Not in the labour force	951
Cartwright	Unemployed (looking for work)	107
Cartwrights Hill	Employed (away from work)	3
Cartwrights Hill	Employed (full-time)	59
Cartwrights Hill	Employed (part-time)	25
Cartwrights Hill	Not in the labour force	38
Cartwrights Hill	Unemployed (looking for work)	6
Carwell	Employed (full-time)	7
Carwell	Employed (part-time)	3
Carwell	Not in the labour force	5
Carwoola	Employed (away from work)	33
Carwoola	Employed (full-time)	514
Carwoola	Employed (part-time)	196
Carwoola	Not in the labour force	326
Carwoola	Unemployed (looking for work)	22
Cascade (NSW)	Not in the labour force	6
Casino	Employed (away from work)	216
Casino	Employed (full-time)	1944
Casino	Employed (part-time)	1442
Casino	Not in the labour force	4084
Casino	Unemployed (looking for work)	364
Cassilis (NSW)	Employed (away from work)	7
Cassilis (NSW)	Employed (full-time)	97
Cassilis (NSW)	Employed (part-time)	46
Cassilis (NSW)	Not in the labour force	69
Cassilis (NSW)	Unemployed (looking for work)	6
Castle Cove	Employed (away from work)	45
Castle Cove	Employed (full-time)	714
Castle Cove	Employed (part-time)	385
Castle Cove	Not in the labour force	768
Castle Cove	Unemployed (looking for work)	41
Castle Doyle	Employed (away from work)	3
Castle Doyle	Employed (full-time)	51
Castle Doyle	Employed (part-time)	35
Castle Doyle	Not in the labour force	30
Castle Hill (NSW)	Employed (away from work)	676
Castle Hill (NSW)	Employed (full-time)	12526
Castle Hill (NSW)	Employed (part-time)	6067
Castle Hill (NSW)	Not in the labour force	10161
Castle Hill (NSW)	Unemployed (looking for work)	1026
Castle Rock	Employed (full-time)	61
Castle Rock	Employed (part-time)	24
Castle Rock	Not in the labour force	35
Castle Rock	Unemployed (looking for work)	3
Castlecrag	Employed (away from work)	59
Castlecrag	Employed (full-time)	816
Castlecrag	Employed (part-time)	495
Castlecrag	Not in the labour force	747
Castlecrag	Unemployed (looking for work)	74
Castlereagh	Employed (away from work)	34
Castlereagh	Employed (full-time)	366
Castlereagh	Employed (part-time)	171
Castlereagh	Not in the labour force	274
Castlereagh	Unemployed (looking for work)	11
Casuarina (NSW)	Employed (away from work)	53
Casuarina (NSW)	Employed (full-time)	741
Casuarina (NSW)	Employed (part-time)	502
Casuarina (NSW)	Not in the labour force	448
Casuarina (NSW)	Unemployed (looking for work)	52
Casula	Employed (away from work)	387
Casula	Employed (full-time)	4249
Casula	Employed (part-time)	1963
Casula	Not in the labour force	4319
Casula	Unemployed (looking for work)	535
Catalina	Employed (away from work)	44
Catalina	Employed (full-time)	363
Catalina	Employed (part-time)	334
Catalina	Not in the labour force	954
Catalina	Unemployed (looking for work)	72
Cataract	Employed (full-time)	3
Cathcart (NSW)	Employed (away from work)	4
Cathcart (NSW)	Employed (full-time)	27
Cathcart (NSW)	Employed (part-time)	12
Cathcart (NSW)	Not in the labour force	35
Catherine Field	Employed (away from work)	54
Catherine Field	Employed (full-time)	456
Catherine Field	Employed (part-time)	254
Catherine Field	Not in the labour force	399
Catherine Field	Unemployed (looking for work)	27
Catherine Hill Bay	Employed (away from work)	3
Catherine Hill Bay	Employed (full-time)	35
Catherine Hill Bay	Employed (part-time)	21
Catherine Hill Bay	Not in the labour force	49
Catherine Hill Bay	Unemployed (looking for work)	7
Cathundral	Employed (away from work)	5
Cathundral	Employed (full-time)	20
Cathundral	Not in the labour force	6
Cattai	Employed (away from work)	21
Cattai	Employed (full-time)	269
Cattai	Employed (part-time)	133
Cattai	Not in the labour force	150
Cattai	Unemployed (looking for work)	13
Cattle Creek (NSW)	Employed (full-time)	12
Cattle Creek (NSW)	Employed (part-time)	3
Cattle Creek (NSW)	Not in the labour force	6
Cavan (NSW)	Employed (away from work)	3
Cavan (NSW)	Employed (full-time)	23
Cavan (NSW)	Employed (part-time)	3
Cavan (NSW)	Not in the labour force	3
Caves Beach	Employed (away from work)	114
Caves Beach	Employed (full-time)	932
Caves Beach	Employed (part-time)	697
Caves Beach	Not in the labour force	1396
Caves Beach	Unemployed (looking for work)	121
Cawdor (NSW)	Employed (away from work)	10
Cawdor (NSW)	Employed (full-time)	131
Cawdor (NSW)	Employed (part-time)	74
Cawdor (NSW)	Not in the labour force	110
Cawdor (NSW)	Unemployed (looking for work)	9
Cawongla	Employed (away from work)	5
Cawongla	Employed (full-time)	34
Cawongla	Employed (part-time)	32
Cawongla	Not in the labour force	67
Cawongla	Unemployed (looking for work)	11
Cecil Hills	Employed (away from work)	150
Cecil Hills	Employed (full-time)	2294
Cecil Hills	Employed (part-time)	913
Cecil Hills	Not in the labour force	1770
Cecil Hills	Unemployed (looking for work)	202
Cecil Park	Employed (away from work)	25
Cecil Park	Employed (full-time)	249
Cecil Park	Employed (part-time)	112
Cecil Park	Not in the labour force	188
Cecil Park	Unemployed (looking for work)	17
Cedar Brush Creek	Employed (full-time)	31
Cedar Brush Creek	Employed (part-time)	18
Cedar Brush Creek	Not in the labour force	21
Cedar Brush Creek	Unemployed (looking for work)	5
Cedar Creek (Cessnock - NSW)	Employed (full-time)	5
Cedar Creek (Cessnock - NSW)	Not in the labour force	6
Cedar Creek (Tweed - NSW)	Not in the labour force	4
Cedar Party	Employed (away from work)	12
Cedar Party	Employed (full-time)	70
Cedar Party	Employed (part-time)	60
Cedar Party	Not in the labour force	135
Cedar Party	Unemployed (looking for work)	9
Cedar Point	Employed (away from work)	3
Cedar Point	Employed (full-time)	50
Cedar Point	Employed (part-time)	29
Cedar Point	Not in the labour force	49
Cedar Point	Unemployed (looking for work)	5
Centennial Park (NSW)	Employed (away from work)	66
Centennial Park (NSW)	Employed (full-time)	1045
Centennial Park (NSW)	Employed (part-time)	342
Centennial Park (NSW)	Not in the labour force	400
Centennial Park (NSW)	Unemployed (looking for work)	60
Central Colo	Employed (away from work)	5
Central Colo	Employed (full-time)	8
Central Colo	Employed (part-time)	3
Central Colo	Not in the labour force	3
Central Macdonald	Employed (full-time)	13
Central Macdonald	Employed (part-time)	8
Central Macdonald	Not in the labour force	10
Central Macdonald	Unemployed (looking for work)	3
Central Mangrove	Employed (away from work)	9
Central Mangrove	Employed (full-time)	99
Central Mangrove	Employed (part-time)	57
Central Mangrove	Not in the labour force	49
Central Mangrove	Unemployed (looking for work)	7
Central Tilba	Employed (away from work)	4
Central Tilba	Employed (full-time)	60
Central Tilba	Employed (part-time)	64
Central Tilba	Not in the labour force	89
Cessnock	Employed (away from work)	308
Cessnock	Employed (full-time)	2861
Cessnock	Employed (part-time)	1823
Cessnock	Not in the labour force	5971
Cessnock	Unemployed (looking for work)	595
Chain Valley Bay	Employed (away from work)	58
Chain Valley Bay	Employed (full-time)	440
Chain Valley Bay	Employed (part-time)	287
Chain Valley Bay	Not in the labour force	1142
Chain Valley Bay	Unemployed (looking for work)	56
Chakola	Employed (full-time)	20
Chakola	Employed (part-time)	3
Chakola	Not in the labour force	10
Chakola	Unemployed (looking for work)	3
Chambigne	Employed (full-time)	7
Chambigne	Employed (part-time)	9
Chambigne	Not in the labour force	18
Chambigne	Unemployed (looking for work)	3
Charbon	Employed (full-time)	21
Charbon	Employed (part-time)	11
Charbon	Not in the labour force	61
Charbon	Unemployed (looking for work)	9
Charles Sturt University	Employed (away from work)	44
Charles Sturt University	Employed (full-time)	4
Charles Sturt University	Employed (part-time)	80
Charles Sturt University	Not in the labour force	170
Charles Sturt University	Unemployed (looking for work)	31
Charlestown (NSW)	Employed (away from work)	331
Charlestown (NSW)	Employed (full-time)	3691
Charlestown (NSW)	Employed (part-time)	2190
Charlestown (NSW)	Not in the labour force	3574
Charlestown (NSW)	Unemployed (looking for work)	387
Charleys Forest	Employed (full-time)	16
Charleys Forest	Employed (part-time)	12
Charleys Forest	Not in the labour force	26
Charlotte Bay	Employed (away from work)	10
Charlotte Bay	Employed (full-time)	30
Charlotte Bay	Employed (part-time)	29
Charlotte Bay	Not in the labour force	62
Charlotte Bay	Unemployed (looking for work)	3
Charlton (NSW)	Employed (full-time)	11
Charlton (NSW)	Employed (part-time)	3
Charlton (NSW)	Not in the labour force	3
Charmhaven	Employed (away from work)	47
Charmhaven	Employed (full-time)	611
Charmhaven	Employed (part-time)	355
Charmhaven	Not in the labour force	774
Charmhaven	Unemployed (looking for work)	112
Chatham Valley	Employed (away from work)	3
Chatham Valley	Employed (full-time)	12
Chatham Valley	Not in the labour force	5
Chatham Valley	Unemployed (looking for work)	3
Chatsbury	Employed (away from work)	5
Chatsbury	Employed (full-time)	31
Chatsbury	Employed (part-time)	15
Chatsbury	Not in the labour force	16
Chatswood	Employed (away from work)	479
Chatswood	Employed (full-time)	7782
Chatswood	Employed (part-time)	3365
Chatswood	Not in the labour force	7245
Chatswood	Unemployed (looking for work)	836
Chatswood West	Employed (away from work)	25
Chatswood West	Employed (full-time)	441
Chatswood West	Employed (part-time)	265
Chatswood West	Not in the labour force	412
Chatswood West	Unemployed (looking for work)	31
Chatsworth (NSW)	Employed (away from work)	4
Chatsworth (NSW)	Employed (full-time)	40
Chatsworth (NSW)	Employed (part-time)	38
Chatsworth (NSW)	Not in the labour force	55
Cheero Point	Employed (away from work)	3
Cheero Point	Employed (full-time)	39
Cheero Point	Employed (part-time)	4
Cheero Point	Not in the labour force	23
Cheero Point	Unemployed (looking for work)	3
Cheltenham (NSW)	Employed (away from work)	50
Cheltenham (NSW)	Employed (full-time)	689
Cheltenham (NSW)	Employed (part-time)	392
Cheltenham (NSW)	Not in the labour force	599
Cheltenham (NSW)	Unemployed (looking for work)	65
Cherry Tree Hill	Employed (full-time)	18
Cherry Tree Hill	Employed (part-time)	6
Cherry Tree Hill	Not in the labour force	19
Cherrybrook	Employed (away from work)	372
Cherrybrook	Employed (full-time)	5965
Cherrybrook	Employed (part-time)	3009
Cherrybrook	Not in the labour force	5060
Cherrybrook	Unemployed (looking for work)	526
Chester Hill	Employed (away from work)	278
Chester Hill	Employed (full-time)	2758
Chester Hill	Employed (part-time)	1392
Chester Hill	Not in the labour force	4443
Chester Hill	Unemployed (looking for work)	495
Chichester (NSW)	Employed (away from work)	4
Chichester (NSW)	Employed (full-time)	5
Chichester (NSW)	Employed (part-time)	3
Chichester (NSW)	Not in the labour force	4
Chifley (NSW)	Employed (away from work)	77
Chifley (NSW)	Employed (full-time)	920
Chifley (NSW)	Employed (part-time)	480
Chifley (NSW)	Not in the labour force	894
Chifley (NSW)	Unemployed (looking for work)	63
Chilcotts Grass	Employed (away from work)	9
Chilcotts Grass	Employed (full-time)	63
Chilcotts Grass	Employed (part-time)	39
Chilcotts Grass	Not in the labour force	63
Chilcotts Grass	Unemployed (looking for work)	4
Chillingham	Employed (away from work)	8
Chillingham	Employed (full-time)	45
Chillingham	Employed (part-time)	31
Chillingham	Not in the labour force	93
Chillingham	Unemployed (looking for work)	5
Chinderah	Employed (away from work)	35
Chinderah	Employed (full-time)	201
Chinderah	Employed (part-time)	204
Chinderah	Not in the labour force	828
Chinderah	Unemployed (looking for work)	51
Chinnock	Employed (full-time)	3
Chinnock	Employed (part-time)	3
Chinnock	Not in the labour force	6
Chippendale	Employed (away from work)	172
Chippendale	Employed (full-time)	2386
Chippendale	Employed (part-time)	1307
Chippendale	Not in the labour force	2960
Chippendale	Unemployed (looking for work)	503
Chipping Norton	Employed (away from work)	196
Chipping Norton	Employed (full-time)	2861
Chipping Norton	Employed (part-time)	1205
Chipping Norton	Not in the labour force	2428
Chipping Norton	Unemployed (looking for work)	228
Chisholm (NSW)	Employed (away from work)	35
Chisholm (NSW)	Employed (full-time)	525
Chisholm (NSW)	Employed (part-time)	230
Chisholm (NSW)	Not in the labour force	222
Chisholm (NSW)	Unemployed (looking for work)	35
Chiswick	Employed (away from work)	86
Chiswick	Employed (full-time)	1219
Chiswick	Employed (part-time)	331
Chiswick	Not in the labour force	627
Chiswick	Unemployed (looking for work)	62
Chittaway Bay	Employed (away from work)	49
Chittaway Bay	Employed (full-time)	543
Chittaway Bay	Employed (part-time)	359
Chittaway Bay	Not in the labour force	532
Chittaway Bay	Unemployed (looking for work)	67
Chittaway Point	Employed (away from work)	33
Chittaway Point	Employed (full-time)	277
Chittaway Point	Employed (part-time)	160
Chittaway Point	Not in the labour force	246
Chittaway Point	Unemployed (looking for work)	30
Chowan Creek	Employed (part-time)	3
Chowan Creek	Not in the labour force	17
Church Point	Employed (away from work)	25
Church Point	Employed (full-time)	269
Church Point	Employed (part-time)	186
Church Point	Not in the labour force	317
Church Point	Unemployed (looking for work)	18
Clandulla	Employed (away from work)	5
Clandulla	Employed (full-time)	30
Clandulla	Employed (part-time)	19
Clandulla	Not in the labour force	81
Clandulla	Unemployed (looking for work)	5
Clare (NSW)	Employed (full-time)	13
Claremont Meadows	Employed (away from work)	133
Claremont Meadows	Employed (full-time)	1716
Claremont Meadows	Employed (part-time)	683
Claremont Meadows	Not in the labour force	799
Claremont Meadows	Unemployed (looking for work)	139
Clarence	Employed (away from work)	3
Clarence	Employed (full-time)	48
Clarence	Employed (part-time)	29
Clarence	Not in the labour force	66
Clarence	Unemployed (looking for work)	4
Clarence Town	Employed (away from work)	56
Clarence Town	Employed (full-time)	562
Clarence Town	Employed (part-time)	290
Clarence Town	Not in the labour force	556
Clarence Town	Unemployed (looking for work)	58
Clarendon (NSW)	Employed (away from work)	9
Clarendon (NSW)	Employed (full-time)	40
Clarendon (NSW)	Employed (part-time)	12
Clarendon (NSW)	Not in the labour force	24
Clarenza	Employed (away from work)	6
Clarenza	Employed (full-time)	158
Clarenza	Employed (part-time)	84
Clarenza	Not in the labour force	166
Clarenza	Unemployed (looking for work)	14
Clareville	Employed (away from work)	12
Clareville	Employed (full-time)	191
Clareville	Employed (part-time)	139
Clareville	Not in the labour force	262
Clareville	Unemployed (looking for work)	17
Claymore	Employed (away from work)	35
Claymore	Employed (full-time)	232
Claymore	Employed (part-time)	143
Claymore	Not in the labour force	815
Claymore	Unemployed (looking for work)	141
Clear Creek	Employed (away from work)	5
Clear Creek	Employed (full-time)	37
Clear Creek	Employed (part-time)	31
Clear Creek	Not in the labour force	23
Clear Creek	Unemployed (looking for work)	3
Clear Range	Employed (full-time)	12
Clear Range	Employed (part-time)	4
Clear Range	Not in the labour force	3
Clear Range	Unemployed (looking for work)	3
Clearfield	Employed (full-time)	3
Clearfield	Not in the labour force	3
Clemton Park	Employed (away from work)	35
Clemton Park	Employed (full-time)	414
Clemton Park	Employed (part-time)	204
Clemton Park	Not in the labour force	605
Clemton Park	Unemployed (looking for work)	34
Clergate	Employed (away from work)	9
Clergate	Employed (full-time)	68
Clergate	Employed (part-time)	37
Clergate	Not in the labour force	47
Clergate	Unemployed (looking for work)	4
Cleveland (NSW)	Employed (full-time)	8
Cleveland (NSW)	Employed (part-time)	3
Cleveland (NSW)	Not in the labour force	4
Clifden	Employed (full-time)	6
Clifden	Employed (part-time)	6
Clifden	Not in the labour force	3
Cliftleigh	Employed (away from work)	19
Cliftleigh	Employed (full-time)	180
Cliftleigh	Employed (part-time)	99
Cliftleigh	Not in the labour force	160
Cliftleigh	Unemployed (looking for work)	45
Clifton (NSW)	Employed (full-time)	8
Clifton (NSW)	Employed (part-time)	3
Clifton (NSW)	Not in the labour force	12
Clifton Grove	Employed (away from work)	21
Clifton Grove	Employed (full-time)	263
Clifton Grove	Employed (part-time)	144
Clifton Grove	Not in the labour force	208
Clifton Grove	Unemployed (looking for work)	21
Clontarf (NSW)	Employed (away from work)	43
Clontarf (NSW)	Employed (full-time)	457
Clontarf (NSW)	Employed (part-time)	286
Clontarf (NSW)	Not in the labour force	485
Clontarf (NSW)	Unemployed (looking for work)	39
Clothiers Creek	Employed (away from work)	12
Clothiers Creek	Employed (full-time)	74
Clothiers Creek	Employed (part-time)	46
Clothiers Creek	Not in the labour force	48
Clothiers Creek	Unemployed (looking for work)	11
Clouds Creek	Employed (full-time)	4
Clovelly	Employed (away from work)	108
Clovelly	Employed (full-time)	1783
Clovelly	Employed (part-time)	738
Clovelly	Not in the labour force	863
Clovelly	Unemployed (looking for work)	94
Clunes (NSW)	Employed (away from work)	18
Clunes (NSW)	Employed (full-time)	213
Clunes (NSW)	Employed (part-time)	190
Clunes (NSW)	Not in the labour force	203
Clunes (NSW)	Unemployed (looking for work)	25
Clybucca	Employed (away from work)	3
Clybucca	Employed (full-time)	33
Clybucca	Employed (part-time)	36
Clybucca	Not in the labour force	37
Clybucca	Unemployed (looking for work)	3
Clyde (NSW)	Employed (part-time)	3
Clydesdale (NSW)	Employed (away from work)	5
Clydesdale (NSW)	Employed (full-time)	25
Clydesdale (NSW)	Employed (part-time)	15
Clydesdale (NSW)	Not in the labour force	17
Clydesdale (NSW)	Unemployed (looking for work)	6
Coal Point	Employed (away from work)	44
Coal Point	Employed (full-time)	454
Coal Point	Employed (part-time)	315
Coal Point	Not in the labour force	577
Coal Point	Unemployed (looking for work)	40
Coalcliff	Employed (away from work)	3
Coalcliff	Employed (full-time)	68
Coalcliff	Employed (part-time)	33
Coalcliff	Not in the labour force	51
Coalcliff	Unemployed (looking for work)	3
Coaldale	Employed (away from work)	3
Coaldale	Employed (full-time)	18
Coaldale	Employed (part-time)	9
Coaldale	Not in the labour force	15
Coaldale	Unemployed (looking for work)	3
Coasters Retreat	Employed (part-time)	4
Coasters Retreat	Not in the labour force	6
Cobaki	Employed (away from work)	6
Cobaki	Employed (full-time)	51
Cobaki	Employed (part-time)	36
Cobaki	Not in the labour force	41
Cobaki	Unemployed (looking for work)	12
Cobaki Lakes	Employed (full-time)	14
Cobaki Lakes	Employed (part-time)	8
Cobaki Lakes	Not in the labour force	5
Cobaki Lakes	Unemployed (looking for work)	7
Cobar	Employed (away from work)	132
Cobar	Employed (full-time)	1203
Cobar	Employed (part-time)	412
Cobar	Not in the labour force	856
Cobar	Unemployed (looking for work)	107
Cobar Park	Employed (full-time)	5
Cobar Park	Employed (part-time)	6
Cobar Park	Not in the labour force	17
Cobar Park	Unemployed (looking for work)	4
Cobargo	Employed (away from work)	17
Cobargo	Employed (full-time)	127
Cobargo	Employed (part-time)	128
Cobargo	Not in the labour force	295
Cobargo	Unemployed (looking for work)	24
Cobark	Employed (full-time)	10
Cobark	Employed (part-time)	4
Cobark	Not in the labour force	12
Cobbadah	Employed (away from work)	3
Cobbadah	Employed (full-time)	35
Cobbadah	Employed (part-time)	10
Cobbadah	Not in the labour force	10
Cobbitty	Employed (away from work)	57
Cobbitty	Employed (full-time)	687
Cobbitty	Employed (part-time)	287
Cobbitty	Not in the labour force	447
